"Gene","Non-unique Gene name","Annotation","No. isolates","No. sequences","Avg sequences per isolate","Genome Fragment","Order within Fragment","Accessory Fragment","Accessory Order with Fragment","QC","Min group size nuc","Max group size nuc","Avg group size nuc","LOPQ010.fasta","LOPR010.fasta"
"papD_1","","Chaperone protein PapD","2","2","1","86","248","","","","749","749","749","PHNCKJFH_00223","JLKMCBGM_04688"
"group_148","papC_3","Outer membrane usher protein PapC","2","2","1","86","249","","","","2498","2513","2505","PHNCKJFH_00224","JLKMCBGM_04689"
"group_149","oleD_1","2-alkyl-3-oxoalkanoate reductase","2","2","1","86","315","","","","914","914","914","PHNCKJFH_00288","JLKMCBGM_04756"
"speF_3","","Inducible ornithine decarboxylase","2","2","1","84","122","","","","710","2198","1454","PHNCKJFH_01553","JLKMCBGM_04098"
"group_150","","hypothetical protein","2","2","1","86","325","","","","554","4562","2558","PHNCKJFH_00298","JLKMCBGM_04766"
"pppA","","Prepilin peptidase PppA","2","2","1","86","326","","","","554","809","681","PHNCKJFH_00299","JLKMCBGM_04767"
"epsE_1","","Type II secretion system protein E","2","2","1","86","339","","","","1256","1463","1359","PHNCKJFH_00303","JLKMCBGM_04771"
"rdgB","","dITP/XTP pyrophosphatase","2","2","1","86","352","","","","593","593","593","PHNCKJFH_00317","JLKMCBGM_02560"
"group_154","","hypothetical protein","2","2","1","86","388","","","","230","230","230","PHNCKJFH_00353","JLKMCBGM_02596"
"ygfA","","5-formyltetrahydrofolate cyclo-ligase","2","2","1","86","391","","","","548","602","575","PHNCKJFH_00356","JLKMCBGM_02599"
"group_156","","hypothetical protein","2","2","1","86","402","","","","659","689","674","PHNCKJFH_00367","JLKMCBGM_02611"
"idi","","Isopentenyl-diphosphate Delta-isomerase","2","2","1","86","412","","","","548","548","548","PHNCKJFH_00377","JLKMCBGM_02621"
"yqfG","","putative protein YqfG","2","2","1","86","413","","","","125","125","125","PHNCKJFH_00378","JLKMCBGM_02622"
"prgI","","hypothetical protein","2","2","1","86","660","","","","155","239","197","PHNCKJFH_00415","JLKMCBGM_03451"
"group_160","","hypothetical protein","2","2","1","86","659","","","Hypothetical protein with no hits to refseq/uniprot/clusters/cdd/tigrfams/pfam overlapping another protein with hits","164","332","248","PHNCKJFH_00416","JLKMCBGM_03450"
"prgK","","Lipoprotein PrgK","2","2","1","86","658","","","","734","818","776","PHNCKJFH_00417","JLKMCBGM_03449"
"orgA","","Oxygen-regulated invasion protein OrgA","2","2","1","86","657","","","","581","794","687","PHNCKJFH_00418","JLKMCBGM_03448"
"group_163","","hypothetical protein","2","2","1","86","656","","","","431","707","569","PHNCKJFH_00419","JLKMCBGM_03447"
"group_164","","hypothetical protein","2","2","1","86","648","","","","140","140","140","PHNCKJFH_00428","JLKMCBGM_03438"
"group_165","","hypothetical protein","2","2","1","86","622","","","","563","563","563","PHNCKJFH_00454","JLKMCBGM_03412"
"group_166","","hypothetical protein","2","2","1","86","621","","","","407","407","407","PHNCKJFH_00455","JLKMCBGM_03411"
"ymdB","","O-acetyl-ADP-ribose deacetylase","2","2","1","87","877","","","","533","533","533","PHNCKJFH_03619","JLKMCBGM_02088"
"entH","","Proofreading thioesterase EntH","2","2","1","84","38","","","","413","413","413","PHNCKJFH_01644","JLKMCBGM_04190"
"minC","","Septum site-determining protein MinC","2","2","1","87","299","","","","695","695","695","PHNCKJFH_03723","JLKMCBGM_04475"
"cynT","","Carbonic anhydrase 1","2","2","1","82","169","","","","659","659","659","PHNCKJFH_03986","JLKMCBGM_00358"
"rpsK","","30S ribosomal protein S11","2","2","1","76","42","","","","389","389","389","PHNCKJFH_03807","JLKMCBGM_02679"
"lpp1","","Major outer membrane lipoprotein Lpp 1","2","2","1","86","277","","","","257","257","257","PHNCKJFH_00252","JLKMCBGM_04717"
"group_1669","","hypothetical protein","2","2","1","87","558","","","","1556","1556","1556","PHNCKJFH_02393","JLKMCBGM_01833"
"gudD","","Glucarate dehydratase","2","2","1","86","588","","","","1337","1340","1338","PHNCKJFH_00491","JLKMCBGM_03374"
"zntR","","HTH-type transcriptional regulator ZntR","2","2","1","76","47","","","","425","425","425","PHNCKJFH_03812","JLKMCBGM_02674"
"phnK","","Putative phosphonates utilization ATP-binding protein PhnK","2","2","1","83","427","","","","758","758","758","PHNCKJFH_03345","JLKMCBGM_03539"
"aaeA_2","","p-hydroxybenzoic acid efflux pump subunit AaeA","2","2","1","87","728","","","","857","857","857","PHNCKJFH_02009","JLKMCBGM_01661"
"ydfZ","","Putative selenoprotein YdfZ","2","2","1","87","372","","","","203","203","203","PHNCKJFH_03887","JLKMCBGM_01592"
"group_1674","btuD_1","Vitamin B12 import ATP-binding protein BtuD","2","2","1","87","227","","","","1004","1004","1004","PHNCKJFH_04323","JLKMCBGM_00071"
"yhjJ","","Protein YhjJ","2","2","1","74","37","","","","1496","1496","1496","PHNCKJFH_02621","JLKMCBGM_00235"
"rapA","","RNA polymerase-associated protein RapA","2","2","1","81","148","","","","2906","2906","2906","PHNCKJFH_01313","JLKMCBGM_02243"
"fimG","","Protein FimG","2","2","1","87","335","","","","503","503","503","PHNCKJFH_03924","JLKMCBGM_01554"
"fimD","","Outer membrane usher protein FimD","2","2","1","87","337","","","","1148","1148","1148","PHNCKJFH_03922","JLKMCBGM_01556"
"group_1679","","hypothetical protein","2","2","1","84","594","","","","548","548","548","PHNCKJFH_00777","JLKMCBGM_03866"
"group_168","","hypothetical protein","2","2","1","84","240","","","","1826","3524","2675","PHNCKJFH_00519","JLKMCBGM_00639"
"ydhF","","Oxidoreductase YdhF","2","2","1","87","725","","","","896","896","896","PHNCKJFH_02012","JLKMCBGM_01664"
"paaC","","1,2-phenylacetyl-CoA epoxidase, subunit C","2","2","1","87","110","","","","746","746","746","PHNCKJFH_03467","JLKMCBGM_01141"
"tadA","","tRNA-specific adenosine deaminase","2","2","1","85","395","","","","503","503","503","PHNCKJFH_02822","JLKMCBGM_02934"
"pspA","","Phage shock protein A","2","2","1","87","168","","","","668","668","668","PHNCKJFH_04230","JLKMCBGM_01199"
"corC","","Magnesium and cobalt efflux protein CorC","2","2","1","84","98","","","","878","878","878","PHNCKJFH_01583","JLKMCBGM_04129"
"plsX","","Phosphate acyltransferase","2","2","1","87","919","","","","1040","1040","1040","PHNCKJFH_03662","JLKMCBGM_03986"
"ygfX","","Inner membrane protein YgfX","2","2","1","86","405","","","","407","407","407","PHNCKJFH_00370","JLKMCBGM_02614"
"group_1687","","hypothetical protein","2","2","1","80","101","","","","863","863","863","PHNCKJFH_00662","JLKMCBGM_00148"
"sufE","","Cysteine desulfuration protein SufE","2","2","1","87","695","","","","416","416","416","PHNCKJFH_02045","JLKMCBGM_01697"
"narI","","Respiratory nitrate reductase 1 gamma chain","2","2","1","87","246","","","","677","677","677","PHNCKJFH_04341","JLKMCBGM_00050"
"group_169","","hypothetical protein","2","2","1","83","87","","","","149","263","206","PHNCKJFH_00567","JLKMCBGM_04520"
"psuG","","Pseudouridine-5'-phosphate glycosidase","2","2","1","85","173","","","","938","938","938","PHNCKJFH_03186","JLKMCBGM_00816"
"mdh_1","","Malate dehydrogenase","2","2","1","86","58","","","","938","938","938","PHNCKJFH_00038","JLKMCBGM_02512"
"dapE","","Succinyl-diaminopimelate desuccinylase","2","2","1","85","512","","","","1127","1127","1127","PHNCKJFH_02914","JLKMCBGM_02792"
"nrfA","","Cytochrome c-552","2","2","1","83","456","","","","1436","1436","1436","PHNCKJFH_03374","JLKMCBGM_03568"
"crl","","Sigma factor-binding protein Crl","2","2","1","84","163","","","","401","401","401","PHNCKJFH_01482","JLKMCBGM_00679"
"lpp","","Major outer membrane prolipoprotein Lpp","2","2","1","87","697","","","","236","236","236","PHNCKJFH_02043","JLKMCBGM_01695"
"group_1696","","hypothetical protein","2","2","1","82","150","","","","605","605","605","PHNCKJFH_03966","JLKMCBGM_00337"
"group_1697","","hypothetical protein","2","2","1","87","792","","","","326","326","326","PHNCKJFH_01902","JLKMCBGM_01597"
"glxR","","2-hydroxy-3-oxopropionate reductase","2","2","1","82","57","","","","878","878","878","PHNCKJFH_04141","JLKMCBGM_00275"
"rpmB","","50S ribosomal protein L28","2","2","1","80","94","","","","236","236","236","PHNCKJFH_00655","JLKMCBGM_00141"
"group_17","","ISAs1 family transposase ISEc5","2","2","1","71","17","","","","302","1136","719","PHNCKJFH_03860","JLKMCBGM_00185"
"yjjW","","Putative glycyl-radical enzyme activating enzyme YjjW","2","2","1","83","93","","","","704","704","704","PHNCKJFH_00573","JLKMCBGM_04526"
"ybdZ","","Enterobactin biosynthesis protein YbdZ","2","2","1","84","26","","","","218","218","218","PHNCKJFH_01656","JLKMCBGM_04202"
"group_1701","","hypothetical protein","2","2","1","87","234","","","","647","647","647","PHNCKJFH_04330","JLKMCBGM_00064"
"group_1702","","hypothetical protein","2","2","1","85","133","","","","470","470","470","PHNCKJFH_03227","JLKMCBGM_00775"
"rnk","","Regulator of nucleoside diphosphate kinase","2","2","1","84","51","","","","410","410","410","PHNCKJFH_01630","JLKMCBGM_04176"
"rplX","","50S ribosomal protein L24","2","2","1","76","31","","","","314","314","314","PHNCKJFH_03795","JLKMCBGM_02691"
"napD","","Chaperone NapD","2","2","1","85","213","","","","263","263","263","PHNCKJFH_03145","JLKMCBGM_00857"
"bioC","","Malonyl-[acyl-carrier protein] O-methyltransferase","2","2","1","84","326","","","","755","755","755","PHNCKJFH_03545","JLKMCBGM_03717"
"hslR","","Heat shock protein 15","2","2","1","79","65","","","","401","401","401","PHNCKJFH_02273","JLKMCBGM_04370"
"group_1708","","hypothetical protein","2","2","1","85","290","","","","164","164","164","PHNCKJFH_03073","JLKMCBGM_00942"
"mqsA","","Antitoxin MqsA","2","2","1","86","271","","","","395","395","395","PHNCKJFH_00246","JLKMCBGM_04711"
"group_171","","hypothetical protein","2","2","1","80","53","","","","461","461","461","PHNCKJFH_00614","JLKMCBGM_00100"
"nuoH","","NADH-quinone oxidoreductase subunit H","2","2","1","85","283","","","","977","977","977","PHNCKJFH_03080","JLKMCBGM_00935"
"gmk","","Guanylate kinase","2","2","1","80","106","","","","623","623","623","PHNCKJFH_00667","JLKMCBGM_04284"
"uppP","","Undecaprenyl-diphosphatase","2","2","1","86","238","","","","821","821","821","PHNCKJFH_00213","JLKMCBGM_04678"
"cpdA","","3',5'-cyclic adenosine monophosphate phosphodiesterase CpdA","2","2","1","86","261","","","","827","827","827","PHNCKJFH_00236","JLKMCBGM_04701"
"artI","","Putative ABC transporter arginine-binding protein 2","2","2","1","84","412","","","","731","731","731","PHNCKJFH_00871","JLKMCBGM_03803"
"group_1715","","hypothetical protein","2","2","1","81","20","","","","200","200","200","PHNCKJFH_01441","JLKMCBGM_02115"
"group_1716","","hypothetical protein","2","2","1","83","129","","","","203","203","203","PHNCKJFH_00612","JLKMCBGM_04554"
"tyrS","","Tyrosine--tRNA ligase","2","2","1","87","735","","","","1274","1274","1274","PHNCKJFH_02002","JLKMCBGM_01654"
"ygaM","","putative protein YgaM","2","2","1","86","478","","","","329","329","329","PHNCKJFH_01172","JLKMCBGM_03258"
"hyuA","","D-phenylhydantoinase","2","2","1","86","687","","","","1385","1385","1385","PHNCKJFH_00394","JLKMCBGM_02637"
"hldD","","ADP-L-glycero-D-manno-heptose-6-epimerase","2","2","1","80","78","","","","932","980","956","PHNCKJFH_00639","JLKMCBGM_00123"
"rutD","","Putative aminoacrylate hydrolase RutD","2","2","1","84","514","","","","800","800","800","PHNCKJFH_02159","JLKMCBGM_03948"
"rhlB","","ATP-dependent RNA helicase RhlB","2","2","1","77","62","","","","1265","1265","1265","PHNCKJFH_02724","JLKMCBGM_03098"
"truA","","tRNA pseudouridine synthase A","2","2","1","85","321","","","","812","812","812","PHNCKJFH_03043","JLKMCBGM_00972"
"argD","","Acetylornithine/succinyldiaminopimelate aminotransferase","2","2","1","79","25","","","","1220","1220","1220","PHNCKJFH_02313","JLKMCBGM_04410"
"epmB","","L-lysine 2,3-aminomutase","2","2","1","83","378","","","","1028","1028","1028","PHNCKJFH_01692","JLKMCBGM_00412"
"narL_2","","Nitrate/nitrite response regulator protein NarL","2","2","1","87","253","","","","650","650","650","PHNCKJFH_04348","JLKMCBGM_00043"
"glnB","","Nitrogen regulatory protein P-II 1","2","2","1","85","401","","","","338","338","338","PHNCKJFH_02828","JLKMCBGM_02928"
"lgt","","Phosphatidylglycerol--prolipoprotein diacylglyceryl transferase","2","2","1","86","625","","","","875","875","875","PHNCKJFH_00451","JLKMCBGM_03415"
"dcuA","","Anaerobic C4-dicarboxylate transporter DcuA","2","2","1","83","386","","","","1301","1301","1301","PHNCKJFH_01684","JLKMCBGM_00404"
"nrdI","","Protein NrdI","2","2","1","86","480","","","","410","410","410","PHNCKJFH_01170","JLKMCBGM_03260"
"rfaC","","Lipopolysaccharide heptosyltransferase 1","2","2","1","80","80","","","","956","971","963","PHNCKJFH_00641","JLKMCBGM_00125"
"lacY","","Lactose permease","2","2","1","82","173","","","","1253","1253","1253","PHNCKJFH_03990","JLKMCBGM_00362"
"group_1731","","hypothetical protein","2","2","1","87","302","","","","284","284","284","PHNCKJFH_03720","JLKMCBGM_04478"
"exoX","","Exodeoxyribonuclease 10","2","2","1","87","530","","","","662","662","662","PHNCKJFH_02420","JLKMCBGM_01861"
"aroK","","Shikimate kinase 1","2","2","1","79","55","","","","521","521","521","PHNCKJFH_02283","JLKMCBGM_04380"
"ibpA","","Small heat shock protein IbpA","2","2","1","80","140","","","","413","413","413","PHNCKJFH_01054","JLKMCBGM_01087"
"atpC","","ATP synthase epsilon chain","2","2","1","80","25","","","","419","419","419","PHNCKJFH_01010","JLKMCBGM_01040"
"ves","","Protein Ves","2","2","1","87","633","","","","575","575","575","PHNCKJFH_02108","JLKMCBGM_01760"
"proA_1","","Gamma-glutamyl phosphate reductase","2","2","1","84","160","","","","1253","1253","1253","PHNCKJFH_01479","JLKMCBGM_00682"
"hisM","","Histidine transport system permease protein HisM","2","2","1","85","310","","","","716","716","716","PHNCKJFH_03054","JLKMCBGM_00961"
"ppiA","","Peptidyl-prolyl cis-trans isomerase A","2","2","1","79","29","","","","572","572","572","PHNCKJFH_02309","JLKMCBGM_04406"
"group_174","","hypothetical protein","2","2","1","80","103","","","","233","824","528","PHNCKJFH_00664","JLKMCBGM_04287"
"ydgI","","Putative arginine/ornithine antiporter","2","2","1","87","769","","","","1382","1382","1382","PHNCKJFH_01925","JLKMCBGM_01620"
"rplN","","50S ribosomal protein L14","2","2","1","76","30","","","","371","371","371","PHNCKJFH_03794","JLKMCBGM_02692"
"polA","","DNA polymerase I","2","2","1","78","113","","","","2786","2786","2786","PHNCKJFH_00948","JLKMCBGM_01537"
"group_1743","","hypothetical protein","2","2","1","80","151","","","","398","398","398","PHNCKJFH_01043","JLKMCBGM_01076"
"eutN","","Ethanolamine utilization protein EutN","2","2","1","85","528","","","","287","287","287","PHNCKJFH_02930","JLKMCBGM_02776"
"relE2","","Toxin RelE2","2","2","1","83","207","","","","281","281","281","PHNCKJFH_01941","JLKMCBGM_01296"
"group_1746","ygdR_1","putative lipoprotein YgdR","2","2","1","86","609","","","","227","227","227","PHNCKJFH_00470","JLKMCBGM_03396"
"ycjU","","Beta-phosphoglucomutase","2","2","1","87","155","","","","659","659","659","PHNCKJFH_04216","JLKMCBGM_01185"
"group_1748","","hypothetical protein","2","2","1","82","154","","","","320","320","320","PHNCKJFH_03970","JLKMCBGM_00341"
"ygeW","","Putative carbamoyltransferase YgeW","2","2","1","86","684","","","","1187","1187","1187","PHNCKJFH_00397","JLKMCBGM_02640"
"adeQ","","Adenine permease AdeQ","2","2","1","80","122","","","","857","1334","1095","PHNCKJFH_00684","JLKMCBGM_04267"
"group_1750","","hypothetical protein","2","2","1","79","59","","","","539","539","539","PHNCKJFH_02279","JLKMCBGM_04376"
"acrR","","HTH-type transcriptional regulator AcrR","2","2","1","82","96","","","","647","647","647","PHNCKJFH_04102","JLKMCBGM_02378"
"pspC","","Phage shock protein C","2","2","1","87","166","","","","359","359","359","PHNCKJFH_04228","JLKMCBGM_01197"
"elfD","","putative fimbrial chaperone protein ElfD","2","2","1","84","581","","","","701","701","701","PHNCKJFH_00765","JLKMCBGM_03879"
"dacB","","D-alanyl-D-alanine carboxypeptidase DacB","2","2","1","86","113","","","","1433","1433","1433","PHNCKJFH_00087","JLKMCBGM_01370"
"lgoT","","putative L-galactonate transporter","2","2","1","83","115","","","","1361","1361","1361","PHNCKJFH_00598","JLKMCBGM_04551"
"csdE","","Sulfur acceptor protein CsdE","2","2","1","86","611","","","","443","443","443","PHNCKJFH_00468","JLKMCBGM_03398"
"moaE","","Molybdopterin synthase catalytic subunit","2","2","1","84","334","","","","452","452","452","PHNCKJFH_03537","JLKMCBGM_03725"
"ghoT","","Toxin GhoT","2","2","1","83","395","","","","173","173","173","PHNCKJFH_01674","JLKMCBGM_03506"
"nusG","","Transcription termination/antitermination protein NusG","2","2","1","70","23","","","","545","545","545","PHNCKJFH_03301","JLKMCBGM_01129"
"rhsD_2","","Protein RhsD","2","2","1","72","35","","","","491","971","731","PHNCKJFH_00697","JLKMCBGM_04815"
"yfeY","","putative protein YfeY","2","2","1","85","543","","","","575","575","575","PHNCKJFH_02945","JLKMCBGM_02761"
"group_1761","","hypothetical protein","2","2","1","77","29","","","","467","467","467","PHNCKJFH_02764","JLKMCBGM_03058"
"ribC","","Riboflavin synthase","2","2","1","87","710","","","","641","641","641","PHNCKJFH_02028","JLKMCBGM_01680"
"group_1763","","hypothetical protein","2","2","1","83","433","","","","329","329","329","PHNCKJFH_03351","JLKMCBGM_03545"
"lysU","","Lysine--tRNA ligase, heat inducible","2","2","1","83","394","","","","1517","1517","1517","PHNCKJFH_01675","JLKMCBGM_03505"
"xerC_4","","Tyrosine recombinase XerC","2","2","1","77","37","","","","896","896","896","PHNCKJFH_02756","JLKMCBGM_03066"
"group_1766","","hypothetical protein","2","2","1","87","272","","","","179","179","179","PHNCKJFH_03750","JLKMCBGM_00021"
"group_1767","","hypothetical protein","2","2","1","86","173","","","","539","539","539","PHNCKJFH_00149","JLKMCBGM_04616"
"group_1768","","hypothetical protein","2","2","1","80","119","","","","293","293","293","PHNCKJFH_00681","JLKMCBGM_04270"
"group_1769","","hypothetical protein","2","2","1","83","300","","","","380","380","380","PHNCKJFH_01768","JLKMCBGM_00488"
"yehC","","putative fimbrial chaperone YehC","2","2","1","85","119","","","","293","674","483","PHNCKJFH_00699","JLKMCBGM_00761"
"sodC","","Superoxide dismutase [Cu-Zn]","2","2","1","87","726","","","","521","521","521","PHNCKJFH_02011","JLKMCBGM_01663"
"anmK","","Anhydro-N-acetylmuramic acid kinase","2","2","1","87","732","","","","1109","1109","1109","PHNCKJFH_02005","JLKMCBGM_01657"
"speA","","Biosynthetic arginine decarboxylase","2","2","1","86","366","","","","1976","1976","1976","PHNCKJFH_00331","JLKMCBGM_02574"
"blc","","Outer membrane lipoprotein Blc","2","2","1","83","373","","","","533","533","533","PHNCKJFH_01697","JLKMCBGM_00417"
"acs_2","","Acetyl-coenzyme A synthetase","2","2","1","83","457","","","","1958","1958","1958","PHNCKJFH_03375","JLKMCBGM_03569"
"xseB","","Exodeoxyribonuclease 7 small subunit","2","2","1","82","242","","","","242","242","242","PHNCKJFH_04061","JLKMCBGM_02337"
"bhsA_1","","Multiple stress resistance protein BhsA","2","2","1","86","56","","","","263","263","263","PHNCKJFH_00036","JLKMCBGM_02510"
"araC","","Arabinose operon regulatory protein","2","2","1","81","143","","","","878","878","878","PHNCKJFH_01318","JLKMCBGM_02238"
"inaA","","Protein InaA","2","2","1","85","237","","","","650","650","650","PHNCKJFH_03122","JLKMCBGM_00887"
"spaO","","Surface presentation of antigens protein SpaO","2","2","1","86","670","","","","947","947","947","PHNCKJFH_00406","JLKMCBGM_03461"
"yehA","","putative fimbrial-like protein YehA","2","2","1","85","117","","","","1034","1034","1034","PHNCKJFH_00701","JLKMCBGM_00759"
"ycbU","","putative fimbrial-like protein YcbU","2","2","1","84","578","","","","542","542","542","PHNCKJFH_00762","JLKMCBGM_03882"
"srlD","","Sorbitol-6-phosphate 2-dehydrogenase","2","2","1","86","505","","","","779","779","779","PHNCKJFH_01139","JLKMCBGM_03291"
"nhaK","","Sodium, potassium, lithium and rubidium/H( ) antiporter","2","2","1","83","461","","","","1649","1649","1649","PHNCKJFH_03379","JLKMCBGM_03573"
"wrbA","","NAD(P)H dehydrogenase (quinone)","2","2","1","84","519","","","","596","596","596","PHNCKJFH_02154","JLKMCBGM_03943"
"rpsA","","30S ribosomal protein S1","2","2","1","84","490","","","","1673","1673","1673","PHNCKJFH_00792","JLKMCBGM_03851"
"nirD","","Nitrite reductase (NADH) small subunit","2","2","1","79","32","","","","326","326","326","PHNCKJFH_02306","JLKMCBGM_04403"
"ycjY","","putative protein YcjY","2","2","1","87","143","","","","920","920","920","PHNCKJFH_03500","JLKMCBGM_01174"
"rpoE","","ECF RNA polymerase sigma-E factor","2","2","1","85","381","","","","575","575","575","PHNCKJFH_02808","JLKMCBGM_02948"
"nadE","","NH(3)-dependent NAD( ) synthetase","2","2","1","87","635","","","","827","827","827","PHNCKJFH_02106","JLKMCBGM_01758"
"secD","","Protein translocase subunit SecD","2","2","1","82","228","","","","1814","1814","1814","PHNCKJFH_04047","JLKMCBGM_02323"
"thiM","","Hydroxyethylthiazole kinase","2","2","1","85","113","","","","788","788","788","PHNCKJFH_00705","JLKMCBGM_00755"
"ispA","","Farnesyl diphosphate synthase","2","2","1","82","241","","","","899","899","899","PHNCKJFH_04060","JLKMCBGM_02336"
"yaiY","","Inner membrane protein YaiY","2","2","1","82","201","","","","308","308","308","PHNCKJFH_04019","JLKMCBGM_02295"
"group_1792","","hypothetical protein","2","2","1","86","134","","","","878","878","878","PHNCKJFH_00110","JLKMCBGM_01347"
"group_1793","","hypothetical protein","2","2","1","87","471","","","","251","251","251","PHNCKJFH_02497","JLKMCBGM_01919"
"umuC_1","","Protein UmuC","2","2","1","87","291","","","","1268","1268","1268","PHNCKJFH_03731","JLKMCBGM_00002"
"yghO","","Protein YghO","2","2","1","86","317","","","","1142","1142","1142","PHNCKJFH_00290","JLKMCBGM_04758"
"frmR","","Transcriptional repressor FrmR","2","2","1","82","187","","","","275","275","275","PHNCKJFH_04004","JLKMCBGM_00376"
"ansA","","L-asparaginase 1","2","2","1","87","606","","","","1016","1016","1016","PHNCKJFH_02134","JLKMCBGM_01785"
"hybE","","Hydrogenase-2 operon protein HybE","2","2","1","86","297","","","","488","488","488","PHNCKJFH_00272","JLKMCBGM_04738"
"ylaC","","Inner membrane protein YlaC","2","2","1","82","102","","","","470","470","470","PHNCKJFH_04096","JLKMCBGM_02372"
"group_180","","hypothetical protein","2","2","1","85","111","","","","818","818","818","PHNCKJFH_00707","JLKMCBGM_00753"
"yiaA","","Inner membrane protein YiaA","2","2","1","73","5","","","","437","437","437","PHNCKJFH_01263","JLKMCBGM_03160"
"btsS","","Sensor histidine kinase BtsS","2","2","1","85","135","","","","1685","1685","1685","PHNCKJFH_03225","JLKMCBGM_00777"
"cra_1","","Catabolite repressor/activator","2","2","1","81","128","","","","1004","1004","1004","PHNCKJFH_01333","JLKMCBGM_02223"
"group_1803","","hypothetical protein","2","2","1","81","16","","","","824","824","824","PHNCKJFH_01445","JLKMCBGM_02111"
"rlmH","","Ribosomal RNA large subunit methyltransferase H","2","2","1","84","77","","","","467","467","467","PHNCKJFH_01605","JLKMCBGM_04150"
"yqcG","","putative protein YqcG","2","2","1","86","578","","","","140","140","140","PHNCKJFH_00501","JLKMCBGM_03364"
"metR","","HTH-type transcriptional regulator MetR","2","2","1","77","21","","","","953","953","953","PHNCKJFH_02772","JLKMCBGM_03050"
"group_1807","","hypothetical protein","2","2","1","83","111","","","","494","494","494","PHNCKJFH_00594","JLKMCBGM_04547"
"mobA","","Molybdenum cofactor guanylyltransferase","2","2","1","78","106","","","","584","584","584","PHNCKJFH_00955","JLKMCBGM_01544"
"flgB","","Flagellar basal body rod protein FlgB","2","2","1","87","903","","","","416","416","416","PHNCKJFH_03646","JLKMCBGM_02061"
"group_181","kdgK_1","2-dehydro-3-deoxygluconokinase","2","2","1","85","109","","","","965","965","965","PHNCKJFH_00709","JLKMCBGM_00751"
"arnD","","putative 4-deoxy-4-formamido-L-arabinose-phosphoundecaprenol deformylase ArnD","2","2","1","85","258","","","","890","890","890","PHNCKJFH_03102","JLKMCBGM_00908"
"lutR","","HTH-type transcriptional regulator LutR","2","2","1","80","148","","","","689","689","689","PHNCKJFH_01046","JLKMCBGM_01079"
